index,road,id,model_type,condition,name,lat,lon,length,bridge_name,in,out
2279,N2,1002279,bridge,A,,24.188343818,91.350516708,5.32,KAROLA,,
2280,N2,1002280,link,,,24.1889719,91.3505556,404.0,,,
2281,N2,1002281,bridge,A,,24.191083,91.3505278,237.0,PATONPUR,,
2282,N2,1002282,bridge,A,,24.1941386,91.3505278,346.0,RATONPUR BOX CULVERT,,
2283,N2,1002283,link,,,24.1977774,91.3509167,407.0,,,
2284,N2,1002284,bridge,A,,24.1985274,91.351,81.0,NOWA PARA BOX CULVERT,,
2285,N2,1002285,link,,,24.20225,91.3515833,429.0,,,
2286,N2,1002286,bridge,A,,24.2041389,91.3519167,210.0,NOWA PARA,,
2287,N2,1002287,bridge,A,,24.2054472164516,91.3525778725806,4.3,NOWAPARA BOX CULVERT,,
2288,N2,1002288,bridge,A,,24.2066638674193,91.3531927209677,2.15,NOWA PARA BOX CULVERT,,
2289,N2,1002289,link,,,24.2067222,91.3532222,310.0,,,
2290,N2,1002290,bridge,A,,24.2078056,91.3539722,149.0,SHAPUR,,
2291,N2,1002291,link,,,24.2088889,91.3546944,145.0,,,
2292,N2,1002292,bridge,A,,24.2108333,91.3560278,252.0,SAHAPUR BOX CULVERT,,
2293,N2,1002293,link,,,24.2110556,91.3561944,454.0,,,
2295,N2,1002295,bridge,A,,24.2141944,91.3586389,6.0,HORITOLA BOX CULVERT,,
2296,N2,1002296,bridge,A,,24.2185827,91.36275,650.0,HARITALA 2 BOX CULVERT,,
2297,N2,1002297,bridge,A,,24.2197493,91.3635833,158.0,HORI TOLA BOX CULVERT,,
2298,N2,1002298,bridge,A,,24.2212771,91.36425,178.0,HORITALA BOX CULVERT,,
2299,N2,1002299,link,,,24.2214438,91.3642778,13.0,,,
2300,N2,1002300,bridge,A,,24.223166,91.3647222,197.0,SHIBPUR BOX CULVERT,,
2301,N2,1002301,bridge,A,,24.2256382,91.3645278,286.0,SHIBPUR BOX CULVERT,,
2302,N2,1002302,bridge,A,,24.2295549,91.3664722,449.0,SHIBPUR BOX CULVERT,,
2303,N2,1002303,bridge,A,,24.2300827,91.3666111,63.0,SHIBPUR BOX CULVERT,,
2304,N2,1002304,link,,,24.2301938,91.3666389,10.0,,,
2305,N2,1002305,bridge,A,,24.231166,91.3669716,116.0,SHIBPUR BOX CULVERT,,
2306,N2,1002306,bridge,A,,24.2349163,91.3679438,429.0,SOUDURP 2,,
2307,N2,1002307,bridge,A,,24.2358608,91.3680827,109.0,RIAZNAZAR BOX CULVERT,,
2308,N2,1002308,link,,,24.2390274,91.3687216,346.0,,,
2309,N2,1002309,bridge,A,,24.239871780645164,91.36895125558311,98.0,RIAZ NAGAR BOX CULVERT,,
2310,N2,1002310,bridge,A,,24.2424997,91.369666,305.0,TAJPUR BOX CULVERT,,
2311,N2,1002311,link,,,24.2476663,91.3712493,602.0,,,
2312,N2,1002312,bridge,A,,24.2477774,91.3712771,11.0,JAJPUR BOX CULVERT,,
2313,N2,1002313,bridge,A,,24.2506111,91.3726104,350.0,TAJPUR BOX CULVERT,,
2314,N2,1002314,bridge,A,,24.25325,91.3741382,334.99999999998545,BAKHARNAGAR BOX CULVERT,,
2315,N2,1002315,link,,,24.2555556,91.3761104,324.00000000001455,,,
2316,N2,1002316,bridge,A,,24.2558889,91.3763049,44.00000000001455,CHARA BOX CULVERT,,
2317,N2,1002317,bridge,A,,24.2585833,91.3780827,348.99999999998545,CHARA BOX CULVERT,,
2318,N2,1002318,bridge,A,,24.2609444,91.3794716,306.00000000001455,CHARA BOX CULVERT,,
2319,N2,1002319,bridge,B,,24.2620833,91.3801382,137.9999999999709,GORIPUR BOX CULVERT,,
2320,N2,1002320,link,,,24.2633333,91.3808604,163.00000000001455,,,
2321,N2,1002321,bridge,B,,24.2655278,91.3821382,275.0,GORIPUR BOX CULVERT,,
2322,N2,1002322,bridge,A,,24.2675549,91.3830827,244.0,OLIPUR BOX CULVERT,,
2323,N2,1002323,link,,,24.2713327,91.3853608,490.99999999998545,,,
2324,N2,1002324,bridge,A,,24.2712493,91.3869719,168.00000000001455,LEVEL CROSING BOX CULVERT,,
2325,N2,1002325,bridge,A,,24.2710271,91.3923052,582.0,OLIPUR BOX CULVERT,,
2326,N2,1002326,bridge,A,,24.2714716,91.3932219,114.0,SHARALDI BOX CULVERT,,
2327,N2,1002327,link,,,24.2720549,91.3946386,146.0,,,
2328,N2,1002328,bridge,A,,24.2721938,91.3949441,41.0,SHUTAN BAZAR,,
2329,N2,1002329,link,,,24.2759993,91.4034167,959.0,,,
2330,N2,1002330,bridge,A,,24.2762771,91.4039167,64.0,SATANKONADI BRIDGE,,
2331,N2,1002331,bridge,A,,24.2768882,91.4046111,84.0,SATANKANADI,,
2332,N2,1002332,bridge,A,,24.278416,91.4077222,372.0,NURPUR,,
2334,N2,1002334,link,,,24.2803882,91.4111389,500.0,,,
2336,N2,1002336,bridge,A,,24.2819993,91.4183049,682.0,NURPUR CULVERT,,
