road,id,model_type,condition,name,lat,lon,length,bridge_name
N1,1333,bridge,B,,23.1290827,91.3287216,69.99999999998545,KAKKARA CULVERT
N1,1334,bridge,A,,23.1252363577777,91.3303863688888,6.5,HASO BOTHACH BOX CULVERT
N1,1335,link,,,23.1234993,91.3311382,675.0,
N1,1336,link,,,23.1213327,91.3320549,255.0,
N1,1337,bridge,A,,23.1193049,91.3329993,248.0,Chanara Box Culvert
N1,1338,link,,,23.1191382,91.3330827,28.0,
N1,1339,link,,,23.1113611,91.3378052,1000.0,
N1,1340,bridge,A,,23.1108056,91.3381386,75.0,PODOYA BOX CULVERT
N1,1341,link,,,23.1051111,91.3413608,720.0,
N1,1342,link,,,23.1035,91.3422497,205.0,
N1,1343,bridge,B,,23.1017563206521,91.343162998913,3.1,CHANGARPULL(II) BOX CULVERT
N1,1344,bridge,A,,23.1005833,91.3437774,368.0,UTTOR KAIEATI CULVERT
N1,1345,bridge,B,,23.0973512527272,91.3454956309091,9.5,ADONCORA
N1,1346,bridge,B,,23.0961941,91.3461108,550.0,KOKALI BOX CULVERT
N1,1347,link,,,23.095583,91.3464441,82.0,
N1,1348,bridge,B,,23.0901108,91.3494163,688.0,DUTHOSHA BOX CULVERT
N1,1349,link,,,23.0876108,91.3508889,312.0,
N1,1350,bridge,B,,23.0870753710144,91.3512101492753,9.25,FOEALTPARA BOX CULVERT
N1,1351,link,,,23.0849719,91.3524722,345.0,
N1,1352,link,,,23.0808049,91.3548611,527.0,
N1,1353,link,,,23.0806938,91.3549444,17.0,
N1,1354,link,,,23.0792493,91.3558333,193.0,
N1,1355,bridge,B,,23.0732493,91.3594167,766.0,MOHAMMAD ALI MAZAR
N1,1356,link,,,23.0712493,91.3599722,234.0,
N1,1357,link,,,23.0688604,91.3607222,275.0,
N1,1358,link,,,23.0636944,91.3616389,611.0,
N1,1359,link,,,23.0635278,91.3616389,18.0,
N1,1360,bridge,A,,23.0614722,91.3616667,230.0,FATAPUR BOX CULVERT
N1,1361,link,,,23.0538611,91.3637222,882.0,
N1,1362,bridge,A,,23.0479441,91.3651389,500.0,DEBIPUR SLAB CULVERT
N1,1363,link,,,23.0449719,91.3653611,521.0,
N1,1364,link,,,23.0427774,91.3654444,196.0,
N1,1365,link,,,23.0398052,91.3656111,336.0,
N1,1366,link,,,23.0360274,91.36575,468.0,
