road,id,model_type,name,lat,lon,length,condition
N1,90,bridge,bridge,23.5469441,90.6699993,32.908,A
N1,91,link,link,23.5442219,90.6731104,33.351,
N1,92,link,link,23.542583,90.6749438,33.607,
N1,93,link,link,23.5362497,90.681916,34.607,
N1,94,bridge,bridge,23.536083,90.6821382,34.641,A
N1,95,link,link,23.5358608,90.6823604,34.681,
N1,96,link,link,23.5341386,90.6843052,34.956,
N1,97,link,link,23.5301938,90.688833,35.607,
N1,98,bridge,bridge,23.529916,90.6952219,36.271,A
N1,99,link,link,23.5301382,90.6984997,36.607,
N1,100,link,link,23.5307493,90.7082778,37.607,
N1,101,link,link,23.5307771,90.7090278,37.685,
N1,102,link,link,23.5313882,90.7153611,38.04,
N1,103,link,link,23.5314716,90.7172216,38.466,
N1,104,link,link,23.5315271,90.7173604,38.543,
N1,105,link,link,23.5315827,90.7176104,38.56,
N1,106,link,link,23.5317216,90.7180271,38.607,
N1,107,link,link,23.5322346,90.7226298386,39.12,
N1,108,link,link,23.5327216,90.7269993,39.607,
N1,109,link,link,23.528916,90.7356108,40.607,
N1,110,link,link,23.5289993,90.7419441,41.261,
N1,111,link,link,23.5293882,90.7514167,42.228,
N1,112,link,link,23.5293882,90.7515833,42.245,
N1,113,link,link,23.529416,90.75175,42.269,
N1,114,link,link,23.5299993,90.7615,43.269,
N1,115,link,link,23.5304438,90.7713049,44.269,
N1,116,link,link,23.5304993,90.7731104,44.454,
N1,117,link,link,23.5308049,90.7811104,45.269,
N1,118,bridge,bridge,23.5307493,90.7816104,45.322,C
N1,119,link,link,23.530666,90.7821938,45.388,
N1,120,link,link,23.5312216,90.7895552,46.161,
N1,121,link,link,23.531166,90.7907219,46.269,
N1,122,bridge,bridge,23.5306938,90.7924441,47.224,C
N1,123,link,link,23.5308604,90.8002222,47.269,
N1,124,link,link,23.5308882,90.8041389,47.672,
N1,125,link,link,23.530916,90.8043611,47.692,
N1,126,link,link,23.5316382,90.8099167,48.269,
N1,127,link,link,23.5332493,90.8194716,49.269,
N1,128,link,link,23.5346663,90.8249716,49.863,
N1,129,link,link,23.5347219,90.8251104,49.879,
N1,130,link,link,23.5344997,90.8287216,50.269,
N1,131,link,link,23.5292216,90.8365274,51.269,
N1,132,link,link,23.5270549,90.8391386,51.636,
N1,133,link,link,23.523166,90.8438886,52.269,
N1,134,link,link,23.5174993,90.8513889,53.269,
N1,135,link,link,23.5170827,90.8607778,54.269,
N1,136,link,link,23.5135833,90.8697771,55.269,
N1,137,bridge,bridge,23.5133056,90.8703049,55.333,B
N1,138,link,link,23.5131111,90.8706382,55.375,
N1,139,link,link,23.5126667,90.871416,55.477,
N1,140,link,link,23.5088056,90.8778604,56.269,
N1,141,link,link,23.506,90.8869163,57.269,
N1,142,link,link,23.5056111,90.8958886,58.191,
N1,143,link,link,23.5056389,90.8966108,58.269,
N1,144,link,link,23.5062778,90.9063889,59.269,
N1,145,link,link,23.50575,90.91525,60.18,
N1,146,link,link,23.5057222,90.9160278,60.269,
N1,147,link,link,23.5055278,90.9257216,61.269,
N1,148,link,link,23.5042778,90.9354163,62.269,
N1,149,link,link,23.5043333,90.9354719,62.278,
N1,150,link,link,23.5038611,90.9371386,62.542,
N1,151,link,link,23.5028611,90.9412774,62.894,
N1,152,link,link,23.5020278,90.9448886,63.269,
N1,153,link,link,23.4995274,90.9541667,64.269,
